depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
10.0,600,,True,0.5,0.9825396825396826,0.006666666666666666,0.2333333333333333,0.01937548510433922,0.016158932858054427,0.2603416558635552
20.0,600,,True,0.5,0.9825396825396826,0.006666666666666666,0.2333333333333333,0.01937548510433922,0.016158932858054427,0.2603416558635552
30.0,600,,True,0.5,0.9825396825396826,0.006666666666666666,0.2333333333333333,0.01937548510433922,0.016158932858054427,0.2603416558635552
,300,,True,0.5,0.9817460317460318,0.0075,0.2333333333333333,0.01896476689737861,0.015343293866268306,0.2603416558635552
10.0,300,,True,0.5,0.9817460317460318,0.0075,0.2333333333333333,0.01896476689737861,0.015343293866268306,0.2603416558635552
20.0,300,,True,0.5,0.9817460317460318,0.0075,0.2333333333333333,0.01896476689737861,0.015343293866268306,0.2603416558635552
30.0,300,,True,0.5,0.9817460317460318,0.0075,0.2333333333333333,0.01896476689737861,0.015343293866268306,0.2603416558635552
,100,,False,0.15,0.9777777777777779,0.0175,0.11666666666666665,0.010528967588429828,0.012332207155790618,0.21794494717703367
10.0,100,,False,0.15,0.9777777777777779,0.0175,0.11666666666666665,0.010528967588429828,0.012332207155790618,0.21794494717703367
20.0,100,,False,0.15,0.9777777777777779,0.0175,0.11666666666666665,0.010528967588429828,0.012332207155790618,0.21794494717703367
30.0,100,,False,0.15,0.9777777777777779,0.0175,0.11666666666666665,0.010528967588429828,0.012332207155790618,0.21794494717703367
,300,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.011744959195991056,0.014813657362192648,0.21794494717703367
,600,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.013723505131579826,0.015723301886761007,0.21794494717703367
10.0,300,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.011744959195991056,0.014813657362192648,0.21794494717703367
10.0,600,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.013723505131579826,0.015723301886761007,0.21794494717703367
20.0,300,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.011744959195991056,0.014813657362192648,0.21794494717703367
20.0,600,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.013723505131579826,0.015723301886761007,0.21794494717703367
30.0,300,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.011744959195991056,0.014813657362192648,0.21794494717703367
30.0,600,,False,0.15,0.9769841269841271,0.018333333333333333,0.11666666666666665,0.013723505131579826,0.015723301886761007,0.21794494717703367
,600,balanced_subsample,False,0.1,0.9769841269841268,0.019166666666666665,0.1,0.020983022327622676,0.021262251370288456,0.15275252316519466
10.0,600,balanced_subsample,False,0.1,0.9769841269841268,0.019166666666666665,0.1,0.020983022327622676,0.021262251370288456,0.15275252316519466
20.0,600,balanced_subsample,False,0.1,0.9769841269841268,0.019166666666666665,0.1,0.020983022327622676,0.021262251370288456,0.15275252316519466
30.0,600,balanced_subsample,False,0.1,0.9769841269841268,0.019166666666666665,0.1,0.020983022327622676,0.021262251370288456,0.15275252316519466
,600,balanced,False,0.1,0.976190476190476,0.019999999999999997,0.1,0.021589635728151504,0.021473497877875208,0.15275252316519466
10.0,600,balanced,False,0.1,0.976190476190476,0.019999999999999997,0.1,0.021589635728151504,0.021473497877875208,0.15275252316519466
