kernel,C,gamma,class_weight,undersampling,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,1.0,0.001,,False,0.9898734177215193,0.0006666666666666668,0.1875,0.009472550346263136,0.0029059326290271155,0.19162137145944866
rbf,1.0,scale,,False,0.9892405063291141,0.0,0.2125,0.012190734357125465,0.0,0.24076700355322778
rbf,1.0,auto,,False,0.9892405063291141,0.0,0.2125,0.012190734357125465,0.0,0.24076700355322778
rbf,1.0,scale,balanced,False,0.9892405063291141,0.0,0.2125,0.0128310980586793,0.0,0.2534141866589162
rbf,1.0,auto,balanced,False,0.9892405063291141,0.0,0.2125,0.0128310980586793,0.0,0.2534141866589162
rbf,10.0,0.001,balanced,False,0.9892405063291141,0.0006666666666666668,0.2,0.01151481354345586,0.0029059326290271155,0.2318404623873926
rbf,1.0,scale,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.010027202226427123,0.004,0.19162137145944866
rbf,1.0,auto,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.010027202226427123,0.004,0.19162137145944866
rbf,10.0,0.001,,False,0.9892405063291141,0.0013333333333333335,0.1875,0.00919356901666705,0.004,0.19162137145944866
rbf,10.0,scale,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,10.0,auto,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,10.0,0.01,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,10.0,scale,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,10.0,auto,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,10.0,0.01,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,scale,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,auto,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,0.01,,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,scale,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,auto,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,100.0,0.01,balanced,True,0.9892405063291141,0.0013333333333333335,0.1875,0.01079665956280505,0.004,0.19162137145944866
rbf,1.0,0.01,balanced,False,0.9886075949367091,0.0,0.225,0.013215577859380446,0.0,0.26100766272276377
rbf,1.0,0.001,balanced,False,0.9886075949367091,0.0,0.225,0.012594777684893924,0.0,0.24874685927665505
rbf,10.0,0.01,,False,0.9886075949367091,0.0,0.225,0.013215577859380446,0.0,0.26100766272276377
rbf,10.0,0.01,balanced,False,0.9886075949367091,0.0,0.225,0.013215577859380446,0.0,0.26100766272276377
rbf,100.0,0.01,,False,0.9886075949367091,0.0,0.225,0.013215577859380446,0.0,0.26100766272276377
rbf,100.0,0.01,balanced,False,0.9886075949367091,0.0,0.225,0.013215577859380446,0.0,0.26100766272276377
rbf,1.0,0.01,,True,0.9886075949367091,0.0013333333333333335,0.2,0.011941748268426089,0.004,0.2318404623873926
rbf,1.0,0.01,balanced,True,0.9886075949367091,0.002,0.1875,0.010514713750529208,0.004760952285695233,0.19162137145944866
rbf,1.0,scale,balanced,True,0.987974683544304,0.002666666666666667,0.1875,0.01094406105429784,0.005333333333333335,0.19162137145944866
rbf,1.0,auto,balanced,True,0.987974683544304,0.002666666666666667,0.1875,0.01094406105429784,0.005333333333333335,0.19162137145944866
