kernel,C,gamma,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,10,0.01,,True,0.3,0.9801587301587302,0.011666666666666667,0.18333333333333332,0.0131612094855373,0.013017082793177757,0.22298480267099421
rbf,10,0.01,balanced,True,0.3,0.9801587301587302,0.011666666666666667,0.18333333333333332,0.0131612094855373,0.013017082793177757,0.22298480267099421
rbf,100,0.01,,True,0.3,0.9801587301587302,0.011666666666666667,0.18333333333333332,0.0131612094855373,0.013017082793177757,0.22298480267099421
rbf,100,0.01,balanced,True,0.3,0.9801587301587302,0.011666666666666667,0.18333333333333332,0.0131612094855373,0.013017082793177757,0.22298480267099421
rbf,1,0.001,,False,0.2,0.98015873015873,0.011666666666666667,0.18333333333333332,0.014085904245475279,0.013017082793177757,0.22298480267099421
rbf,1,0.1,,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
rbf,1,0.1,,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,1,0.1,balanced,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
rbf,1,0.1,balanced,True,0.3,0.9793650793650794,0.0,0.4333333333333333,0.012397221707788333,0.0,0.2603416558635551
rbf,10,0.1,,False,0.5,0.9793650793650794,0.0,0.4333333333333333,0.013374840909803742,0.0,0.28087165910587863
